englishTerm,koreanTerm,explanation
Afterpains,후진통,1) 출산후 자궁이 임신전 상태로 되돌아 가기위해 수축할 때 느껴지는 동통으로 산후 2일정도 지속된다. 2) 태반 만출뒤에도 계속해서 나타나게 되는 자궁수축. 자궁으로 부터의 출혈방지, 자궁퇴축에 중요한 역할을 수행한다.[간호학대사전]
Aggressive behavior,공격적 행동,손상된 행동: 언어적, 신체적 혹은 상징적으로 표현되는 강제적이고 자기독단적인 행동 또는 태도.
Aging,노화,신체 과정
Agitation,초조,활동과잉: 목적없는 정신 운동 흥분상태, 안절부절한 행동, 왔다 갔다함, 불안, 두려움 또는 정신적 스트레스와 관련된 신경성 긴장의 표출.
Agnosia,인식불능(증),왜곡된 사고 과정: 청각, 시각, 후각, 미각, 혹은 촉각과 관련된 뇌의 손상으로 인해 친숙한 물체나 사람을 알아보는 능력의 전체 혹은 부분 손실.
Agnosia,실인증,왜곡된 사고 과정: 청각, 시각, 후각, 미각, 혹은 촉각과 관련된 뇌의 손상으로 인해 친숙한 물체나 사람을 알아보는 능력의 전체 혹은 부분 손실.
Air,공기,개체: 대부분의 식물과 동물의 생존에 필수적인 지구를 감싸고 있는 보이지 않는 가스 물질.
Airway clearance impairment,비효율적 기도청결,
Airway clearance impairment deteriorated,비효율적 기도청결 악화됨,
Airway clearance impairment improved,비효율적 기도청결 개선됨,
Airway clearance impairment stabilized,비효율적 기도청결 안정됨,
Albumin,알부민,분자량 69, 000, 침강 계수 4.6S, 생성률 120~260mg/kg/일(日), 반감기 17~23일이며 혈장단백 중 가장 많은 50~60%를 차지한다. 혈장삼투압(血壓滲透壓)의 80%를 차지하고 또 비특이적(非特異的)인 결합능력이 강하며 호르몬(estrogen, androsterone, progesteron, thyroxin, adrenalin 등), 대사산물(bilirubin, uric acid 등), 약제(penicillin, saicylate, digitoxin, 색소 등) 운반체로서 작용한다. 간 세포에서만 합성되며, 2개의 codominant gene에 지배된다. 생합선이상(生合性異常)으로서 무(無)알부민혈증(analbu-minemia)과 2봉성(峰性) 알부민증(bisalbuminemia)이 있으며, 후자는 혈중 농도는 정상이지만 전기영동(電氣泳動)에서 2개의 피크(Aln, Alsl또는 Aln, Alra)가 있다. 정상치 : 3.5~4.5g/dl, 변동 계수 : 3.4%, 저치(低值) : 신장염, 범발성급성간장애(汎發性急性肝障碍), 간경변, 단백섭취부족, 단백누출성위장증(蛋白漏出性胃腸症).[간호학대사전]
Alchohol abuse,알코올남용,주류의 과도한 사용
Alchohol abuse deteriorated,알코올남용 악화됨,
Alchohol abuse improved,알코올남용 개선됨,
Alchohol abuse stabilized,알코올남용 안정됨,
Alcohol abuse,알코올 남용,약물 남용: 알코올의 잘못된 사용.
Alcohol abuse control,알콜남용통제,
Alcohol dependence,알코올의존,부정적 의존
Alexia,실독증,인상적 언어상실증: 쓰여진 단어를 이해하지 못함.
Alignment,정렬,1) 한 줄을 따르는 사물이나 점의 집합 배열. 2) 골절된 뼈의 치유나 치아 교정 같이 적정한 해부학적 위치에 신체 구조를 배치하거나 유지하는 것.[Mosby 의학간호학대사전]
Allergic reaction care,알레르기반응조절,
Allergic reaction,알레르기반응,
Allergy,알레르기,손상된 면역계 과정: 외부 항원에 대한 면역 반응.
Allodynia,이질통증,통증
Ambivalence,양가감정,감정: 같은 대상에 대해 모순되고 반대적인 느낌을 경험하는 상태.
Amblyopia,약시,약시란 기질적(器質的) 변화가 없거나 있어도 거기에 따라서 설명이 안되는 시력의 저하를 말한다. 그 시력판정기준은 0.04~0.3까지이고 세계 전인구의 0.66%에 약시가 있는 것으로 추정되고 있다. 성인으로서는 망막황반부 중심의 발육억제설과 기능 억제설이 있는데 아직 불확실한 점이 많다. 진단상으로는 안위(眼位)의 이상(사시, 선천성 안근마비), 안검하수, 선천성 백내장 등의 중간 투광체의 혼탁, 굴절이상 등에 주의하지 않으면 안된다.[간호학대사전]
Ambu bag,앰부주머니,호흡정지시에 사용되는 구급소생백. 구급임상용으로 사용되는 비교적 간단한 기구를 지닌 인공호흡요법기구이고 백에 E2-valve, Ruben valve 등을 부속시킨 것 등, 여러가지의 것이 있다. 백에 O2 flow를 접속시켜 고농도산소흡입도 가능하다.[간호학대사전]
Ambulance,구급차,탈것
Ambulation,보행,움직임: 다리를 한걸음씩 움직임으로써 한 곳에서 다른 곳으로 몸을 이동하는 것, 몸의 체중을 견디는 능력과 느린, 빠른, 보통의 다양한 속도로 위층, 아래층, 오르막길, 내리막 길을 효율적으로 걸음을 걷는 능력.
Ambulation therapy,보행요법,
Amenorrhea,무월경,월경이 있어야 할 때 나타나지 않는 일. 성상(性狀)에 따라 분류.생리적인 것으로는 사춘기 전의 소녀 무월경, 폐경기 이후의 노년 무월경, 그리고 임신 무월경, 산욕(産褥) 무월경, 수유 무월경이 포함되고, 병적 무월경으로는 자궁성 ·난소성 ·뇌하수체성 ·과여포호르몬성 ·전신 기인성(全身基因性) 등이 있다. 
Amnesia,기억상실,손상된 기억: 대뇌 손상이나 정서적인 위기와 연관된 기억의 손상.
Amniorrhexis,양막파열,태아는 양막 안에 있는 양수에서 성장하고 발달하게 되는데, 양막이 파수되는 경우 양수가 새어 나오게 된다. 대개 진통이 본격적으로 진행되는 활발한 분만 과정 중에 일어나고, 진통 없이 양막 파수가 먼저 되는 경우를 조기 양막 파수라고 한다. 무색 투명하거나 약간 혼탁한 액체의 질 분비물이 나오는 경우 양막 파수를 의심한다. 진단은 경부로부터 양수가 흐르는 것을 직접 확인하는 방법과 이외 여러 가지 방법이 있는데, 이중 가장 널리 사용되는 방법은 나이트라진(nitrazine)검사이다. 나이트라진 검사는 알칼리성 양수의 존재를 나이트라진 종이를 이용해 확인하는 방법으로, 노란색의 검사 종이가 질분비물에 의해 파란색으로 변하면 양수가 새는 것을 확인할 수 있다.[서울대학교병원 의학정보]
Amniotic fluid index,양수지수,모체 복부를 배꼽과 흑선을 중심으로 4등분 한 후에, 각기 등분한 부분에서 가장 큰 양수의 수직선을 확인하고 측정하여 각 등분의 길이를 합친숫자임. 양수량을 측정하는 방법.
Amputation,자름,수술
Amputation,절단,수술
Amputation stump,잘린끝,신체 움직임의 한 형태 : 변형되고 줄어든 신체 말단부(사지); 신체부분의 외과적 절단으로 인한 움직임의 감소
Amputation stump,절단단,신체 움직임의 한 형태 : 변형되고 줄어든 신체 말단부(사지); 신체부분의 외과적 절단으로 인한 움직임의 감소
Anal fistula,치루,항문주위에 고름이 나오는 것
Anal fistula,항문루,항문 가까이에 있는 피부 표면에 누공을 조성한 것으로 직장에 연결된 경우와 연결되지 않은 경우가 있다.
Anal sphincter,항문괄약근,위장관계 구성요소
Anal sphincter,항문조임근,위장관계 구성요소
Analgesic,진통제,약품
Anaphylactic shock,아나필락시스쇼크,쇼크: 음식물, 약물, 화학약품, 혹은 다른 물질에서 검출된 항원에 대한 과민성 또는 알레르기 반응으로 일어나는 급격한 순환 기능부전.
Anesthetic,마취-,약물 따위를 이용하여 얼마 동안 의식이나 감각을 잃게 함.[표준국어대사전]
Anger,분노,부정적 감정: 내적 혹은 외적인 자극에 대한 정신적 혹은 신체적 반응으로부터 치솟는 불쾌감부터 격노에 이르는 감정.
Animal,동물,생물: 감각 능력과 수의적 운동 능력을 지닌 생명체.
Ankle joint,발목 관절,관절
Anorectic,식욕억제제,살빼는 약의 하나이다. 중추성과 말초성의 것을 생각할 수 있다. 중추흥분성의 아드레날린 작용제(암페타민, 메타암페타민등)가 중추성으로 말초성의 것으로서 소화관 기능을 저하시키는 약물(아트로핀, 스코폴라민 등), 혈당을 상승해 위운동을 억제하는 글루카곤 등이 있다.[간호학대사전]
Anorexia,입맛없음,음식물에 대한 욕구의 부족, 상실.
Anorexia,식욕부진,음식물에 대한 욕구의 부족, 상실.
Anorexigenic,식욕억제제,살빼는 약의 하나이다. 중추성과 말초성의 것을 생각할 수 있다. 중추흥분성의 아드레날린 작용제(암페타민, 메타암페타민등)가 중추성으로 말초성의 것으로서 소화관 기능을 저하시키는 약물(아트로핀, 스코폴라민 등), 혈당을 상승해 위운동을 억제하는 글루카곤 등이 있다.[간호학대사전]
Antacid,제산제,위산을 중화, 흡착하는 약물. 물에 녹는 탄산수소나트륨(흡수되어 알칼로시스를 일으키는 일이 있다), 불용성으로 겔상으로 사용하는 탄산칼슘, 산화마그네슘, 합성규산알루미늄, 규산알루미늄, 규산마그네슘, 수산화알루미늄 등(흡착, 완하, 점막피복작용을 갖는 것이 많다)이 있다.[간호학대사전]
Antagonism,길항작용,1) 한약을 사용할 때 두 가지 이상의 약물을 배합하면 약 상호간에 영향을 주게 되며 약리작용의 변화가 일어나는데, 어떤 약물은 그 약성과 특성이 약해지는 경우를 말한다. 2) 상반되는 2가지 요인이 동시에 작용하여 그 효과를 서로 상쇄시키는 작용[두산백과]
Antagonism,대항작용,1) 한약을 사용할 때 두 가지 이상의 약물을 배합하면 약 상호간에 영향을 주게 되며 약리작용의 변화가 일어나는데, 어떤 약물은 그 약성과 특성이 약해지는 경우를 말한다. 2) 상반되는 2가지 요인이 동시에 작용하여 그 효과를 서로 상쇄시키는 작용[두산백과]
Antagonist,길항제,독약중화용 치료약물
Antepartum care,분만전간호,산전관리.
Antepartum care,산전간호,산전관리.
Antiasthmatic agent,항천식제,기관지천식의 치료에 사용되는 약제이고 세포막의 아데닐레이트 사이클레이스를 부활화(賦活化)하는 교감신경자극제(β2-자극제), 항포스모디에스터 레이스 작용이 있는 크산틴계약제 등의 기관지 확장제, 스테로이드, α-차단제, 비만세포의 막을 안정화시켜 발작을 예방하는 크로모글리케이트나트름(인탈), 금제제, 히스타글로빈, 감감작용법에 사용하는 약제등이 있다.[간호학대사전]
Antibiotic,항생제,약품
Anticancer drug,항암제,암뿐만 아니라, 악성종양에 대하여 사용되고 있는 것은, 화학적 성질에 의하여 세포독으로서 작용하는 것에 알킬화제(나이트로젠마스타드, 트리에티렌메라닝 등), 대사길항제(퓨린대사길항제, 필리미진대사길항제, 엽산대사길항제, 글타민대사길항제), 식물알칼로이드(빈알칼로이드, 코르히틴 등), 항생물질(잘코마이신, 마이트마이신C, 아크티노마이신D, 다우노마이신, 블레오마이신, 다그티노마이신, 네오칼티노스타틴 등), 기타(아스파라기나제, OK-432, 레티닌 등)이 있고, 대부분은 종양세포의 핵산(核酸), 누크레오티도대사에 영향을 주는 물질이다. 기타, 종양세포의 증식인자를 억제하는 것(성호르몬, 부신피질호르몬)이나 항종양면역촉진제가 있다. 후자는 뚜렷한 효과가 있는 것은 발견되지 않았고 현재 악성종양의 예방요법과 함께 연구중인 약물이다.[간호학대사전]
Anticholinergic,항콜린약,부교감신경절후섬유종말에서 아세틸 콜린과 경합적으로 길항하는 이른바 항 무스카린 작용을 지닌 약물이다. 아트로핀, 스코 폴라민이 산동, 진경, 파킨슨병치료에 사용되는데, 이같은 광범위한 작용이 부작용으로서 나타나기 때문에 아트로핀 대용약으로서 호마트로핀, 트로피카마이드가 산동약, 메산테린, 플로판테린이 진경약, 트리핵시페니딜이 파킨슨병 치료약으로 사용되듯이 보다 장기 특이성이 있는 것을 사용하게 되었다.[간호학대사전]
Anticholinergic,항콜린제,부교감신경절후섬유종말에서 아세틸 콜린과 경합적으로 길항하는 이른바 항 무스카린 작용을 지닌 약물이다. 아트로핀, 스코 폴라민이 산동, 진경, 파킨슨병치료에 사용되는데, 이같은 광범위한 작용이 부작용으로서 나타나기 때문에 아트로핀 대용약으로서 호마트로핀, 트로피카마이드가 산동약, 메산테린, 플로판테린이 진경약, 트리핵시페니딜이 파킨슨병 치료약으로 사용되듯이 보다 장기 특이성이 있는 것을 사용하게 되었다.[간호학대사전]
Anticipatory grieving,예기비통,사건 또는 상실 전의 큰 비애감
Anticipatory grieving deteriorated,예기비통 악화됨,
Anticipatory grieving improved,예기비통 개선됨,
Anticipatory grieving stabilized,예기비통 안정됨,
Anticoagulant,항응고제,
Anticonvulsant,항경련제,다양한 형태의 간질에서 일어나는 발작의 정도를 완화하거나 발작을 방지하는 약물. 항전간제, 항간질제라고도 함.
Antidepressant,항우울제,정신부활약이라고도 하고 억울적인 감정을 억제해 결과적으로 억울상태에서 평상의 감정상태로 끌어 올리는 작용이 있는 감정억제약과 억울적인 감정에 대해서 정신기능에 적극적으로 흥분적인 영향을 미침으로써 부활적인 효과를 나타내는 감정흥분약 및 정신흥분약으로 분류되는 각성아민(안페타민, 메탄페타민)이 있다. 감정억제약은 구조상, 삼환계(三環系) 항우울제로도 불리고 이미프라민, 데스메털이미프라민, 크로미프라민의 종류, 아미트리프틸린, 노르트리프틸린의 종류 및 독세핀, 오피프라몰, 디메타크린, 프로트리 프틸린 등이 있다. 감정흥분약은 모노아민 옥시 데이스라는 공통의 작용을 지니고 있는 약물이고 사프라딘, 이프로나이아지드, 니알라마이드, 이소카르복사자이드, 트라닐시프로민 등이 있는데 간장애를 일으키기 쉽다. 적용으로서는 각종 우울병의 억울기분, 억제를 제거하고 기분을 높여 불안, 불온을 제거 진정시킬 목적으로 사용하다.[간호학대사전]
Antidiarrheal,지사제,장 자체에 작용하여 장의 이상항진에 의해 설사를 치료하는 데 쓰이는 약제. 
Antidiarrheal,설사약,장 자체에 작용하여 장의 이상항진에 의해 설사를 치료하는 데 쓰이는 약제. 
Antidiuretic,항이뇨제,요의 배설을 억제하는 약제.[농촌진흥청]
Antidote,해독제,독약중화용 치료약물
Antiemetic,구토약,중추성과 말초성의 두 개가 있다. 중추성제토약은 중추신경억제작용을 나타내는 것이 많고, 바비튜산유도체, 브롬화합물 등의 최면약, 스코포라민 등의 항콜린작용약, 지멘히드리나트 등의 항히스타민제, 클로르프로마진 등의 정온제 등이 있다. 말초성제토제에는 물에 녹기 어려운 아미노안식향산에틸 등의 국소마취제에 의한 위점막마취(胃粘膜痲醉)로 반사성구토억제, 아트로핀 등의 콜린작용약에 의한 위의 운동억제 등이 있다.[간호학대사전]
Antiemetic,항구토제,중추성과 말초성의 두 개가 있다. 중추성제토약은 중추신경억제작용을 나타내는 것이 많고, 바비튜산유도체, 브롬화합물 등의 최면약, 스코포라민 등의 항콜린작용약, 지멘히드리나트 등의 항히스타민제, 클로르프로마진 등의 정온제 등이 있다. 말초성제토제에는 물에 녹기 어려운 아미노안식향산에틸 등의 국소마취제에 의한 위점막마취(胃粘膜痲醉)로 반사성구토억제, 아트로핀 등의 콜린작용약에 의한 위의 운동억제 등이 있다.[간호학대사전]
Antifungal agent,항진균제,진균의 기생부위에 따라서 표재성과 심재성 진균증으로 나뉘어진다. 전자에 대해서 국소와 전신작용이 후자에 대해서 전신작용이 이루어지는 약물이고 국소에는 일반소비약이, 전신작용에는 항진균성화학요법약이 사용된다. 소독약에는 요드, 수은, 황, 은, 지방족, 방향조, 운데실린산, 나프톨, 톨나프테이트, 키노린, 색소등의 각종제제가 있다. 항생물질엔 니스타틴, 암포테리신, 글리세오플빈, 트리코마이신, 볼레오스라이신, 피마리신, 나라마이신 등이 있다.[간호학대사전]

Antigalactic,젖분비억제제,유즙의 분비를 감소 또는 멈추게 하는 약제.
Antihistamine,항히스타민제,생체에 널리 존재하며 알레르기반응에 중요한 역할을 하는 외에 여러 가지 생리작용을 하는 생체내 아민, 히스타민에 대해 길항작용을 나타내는 약제. 현재 히스타민작용은 2종류로 분류하는데 각종 평활근(기관지, 자궁, 장 등)을 수축시키는 등의 작용을H1라고하고, 위산분비를 항진하는 작용을H2작용이라 하며, 각 작용에길항하는 약제가 알려져 있다. H1 차단약제는 역사도 길어 많은 것이 알려져 있지만 화학구조상으로 분류하면, 에탄올 아민류(디펜히드라민), 알킬류 아민류(클로로페닐아민), 에틸렌디아민류(트리페레나민 등), 피페라딘류(메크리딘 등), 페노티아딘(프로메타딘 등), 기타로 되어 있다[간호학대사전
Antihypertensive drug,항고혈압제,원인을 알수 있는 고혈압증에 대해서 원인제거를 하는 외과적 처치나 항 아드레날린 작동약, 항 알도스테론으로 치료를 하는데, 원인을 모르는 본태성 고혈압증에 대해서는 대중적으로 항고혈압제를 사용한다. 작용기전은 직접이건 간접이건 말초 혈관 확장과 심박출량 저하에 있다. 강압이뇨약으로서 사이아자이드 화합물(클로로 사이아자이드, 하이드로클로론 사이아자이드, 프로세마니드 등)이 있고 자율신경 계약으로서 레세르핀, 구아네시딘, a메틸도파, 클로니딘, 자율신경절차단 약(헥사 메소늄, 펜트리늄, 메카밀라민 등), 프로프라노롤이 반사성기성에 의한 베라트룸 알칼로이드, 직접 혈관평활근에 작용해서 혈관확장을 나타내는 하이드라진, 중추성으로 작용하는 트란킬라이자, 멥타메이트 등이 있다. 이들 약물은 작용기전을 몇개 합쳐서 지니고있으며 항고혈압 효과도 일종의 약물로는 기대되는 것이 적다. 장기투여의 경우도 많으므로 주의한다.[간호학대사전]
Antihypertensive drug,고혈압약,원인을 알수 있는 고혈압증에 대해서 원인제거를 하는 외과적 처치나 항 아드레날린 작동약, 항 알도스테론으로 치료를 하는데, 원인을 모르는 본태성 고혈압증에 대해서는 대중적으로 항고혈압제를 사용한다. 작용기전은 직접이건 간접이건 말초 혈관 확장과 심박출량 저하에 있다. 강압이뇨약으로서 사이아자이드 화합물(클로로 사이아자이드, 하이드로클로론 사이아자이드, 프로세마니드 등)이 있고 자율신경 계약으로서 레세르핀, 구아네시딘, a메틸도파, 클로니딘, 자율신경절차단 약(헥사 메소늄, 펜트리늄, 메카밀라민 등), 프로프라노롤이 반사성기성에 의한 베라트룸 알칼로이드, 직접 혈관평활근에 작용해서 혈관확장을 나타내는 하이드라진, 중추성으로 작용하는 트란킬라이자, 멥타메이트 등이 있다. 이들 약물은 작용기전을 몇개 합쳐서 지니고있으며 항고혈압 효과도 일종의 약물로는 기대되는 것이 적다. 장기투여의 경우도 많으므로 주의한다.[간호학대사전]
Antiinflammatory agent,항염증제,국소에 작용하여 염증을 치료하고 방지하는 약. 염증을 가라앉히는 약을 말한다. 조직을 긴축-치밀하게 하여 장액과 점액의 분비를 줄이고, 표면에 있는 작은 혈관에 빈혈을 일으켜 충혈되는 것을 방지함으로써 염증적 병변을 제거하여 모든 증세를 없앤다. 대부분의 수렴제-완화제-진양제가 이에 속한다. 중요한 성분으로는 알루미늄-비스무트-아연-납화합물(병반-페르마톨-아연화-연당 등) 등이 있다. 작용에 따라 항염증진통제와 항염증효소제로 나뉜다.[알기쉬운 의학용어풀이집]
Antiinflammatory agent,소염제,국소에 작용하여 염증을 치료하고 방지하는 약. 염증을 가라앉히는 약을 말한다. 조직을 긴축-치밀하게 하여 장액과 점액의 분비를 줄이고, 표면에 있는 작은 혈관에 빈혈을 일으켜 충혈되는 것을 방지함으로써 염증적 병변을 제거하여 모든 증세를 없앤다. 대부분의 수렴제-완화제-진양제가 이에 속한다. 중요한 성분으로는 알루미늄-비스무트-아연-납화합물(병반-페르마톨-아연화-연당 등) 등이 있다. 작용에 따라 항염증진통제와 항염증효소제로 나뉜다.[알기쉬운 의학용어풀이집]
Antiinflammatory agent,염증약,국소에 작용하여 염증을 치료하고 방지하는 약. 염증을 가라앉히는 약. 조직을 긴축-치밀하게 하여 장액과 점액의 분비를 줄이고, 표면에 있는 작은 혈관에 빈혈을 일으켜 충혈되는 것을 방지함으로써 염증적 병변을 제거하여 모든 증세를 없앰.
